,date,close,open,high,low,volume,keyword
498,2019-07-16,6400.0,6340.0,6500.0,6290.0,145635.0,신풍제약
497,2019-07-17,6440.0,6370.0,6500.0,6340.0,160046.0,신풍제약
496,2019-07-18,6420.0,6450.0,6490.0,6410.0,97744.0,신풍제약
493,2019-07-19,6510.0,6440.0,6530.0,6420.0,113681.0,신풍제약
492,2019-07-22,6500.0,6460.0,6570.0,6420.0,88028.0,신풍제약
491,2019-07-23,6420.0,6500.0,6560.0,6420.0,118135.0,신풍제약
490,2019-07-24,6420.0,6390.0,6830.0,6360.0,518265.0,신풍제약
489,2019-07-25,6450.0,6490.0,6510.0,6350.0,189719.0,신풍제약
485,2019-07-26,6410.0,6420.0,6530.0,6370.0,135654.0,신풍제약
484,2019-07-29,6000.0,6410.0,6480.0,6000.0,368507.0,신풍제약
483,2019-07-30,6000.0,5890.0,6150.0,5890.0,195236.0,신풍제약
482,2019-07-31,6180.0,5970.0,6190.0,5850.0,194136.0,신풍제약
481,2019-08-01,6250.0,6180.0,6310.0,6140.0,120311.0,신풍제약
478,2019-08-02,6120.0,6090.0,6250.0,6000.0,165894.0,신풍제약
477,2019-08-05,5420.0,6060.0,6120.0,5420.0,596476.0,신풍제약
476,2019-08-06,5020.0,5020.0,5520.0,4940.0,683949.0,신풍제약
475,2019-08-07,5240.0,5020.0,5280.0,5020.0,352614.0,신풍제약
474,2019-08-08,5440.0,5250.0,5520.0,5220.0,218345.0,신풍제약
470,2019-08-09,5480.0,5500.0,5590.0,5430.0,113979.0,신풍제약
469,2019-08-12,5550.0,5440.0,5600.0,5390.0,145710.0,신풍제약
468,2019-08-13,5550.0,5540.0,5610.0,5470.0,92249.0,신풍제약
467,2019-08-14,5520.0,5610.0,5610.0,5490.0,149357.0,신풍제약
466,2019-08-16,5430.0,5450.0,5450.0,5260.0,140043.0,신풍제약
463,2019-08-19,5430.0,5460.0,5500.0,5400.0,96997.0,신풍제약
462,2019-08-20,5630.0,5410.0,5630.0,5410.0,168757.0,신풍제약
461,2019-08-21,5750.0,5630.0,5890.0,5580.0,255374.0,신풍제약
460,2019-08-22,5730.0,5850.0,5850.0,5700.0,130037.0,신풍제약
459,2019-08-23,5670.0,5680.0,5740.0,5610.0,103301.0,신풍제약
455,2019-08-26,5380.0,5450.0,5540.0,5360.0,132853.0,신풍제약
454,2019-08-27,5400.0,5490.0,5650.0,5390.0,165306.0,신풍제약
453,2019-08-28,5600.0,5450.0,6160.0,5350.0,741558.0,신풍제약
452,2019-08-29,5710.0,5700.0,5910.0,5580.0,514839.0,신풍제약
451,2019-08-30,5880.0,5720.0,5890.0,5720.0,217708.0,신풍제약
448,2019-09-02,5900.0,5890.0,5950.0,5800.0,172536.0,신풍제약
447,2019-09-03,5990.0,5900.0,5990.0,5860.0,142819.0,신풍제약
446,2019-09-04,6070.0,5990.0,6150.0,5940.0,177851.0,신풍제약
445,2019-09-05,6050.0,6150.0,6160.0,6030.0,134077.0,신풍제약
444,2019-09-06,6070.0,6070.0,6110.0,6000.0,85538.0,신풍제약
440,2019-09-09,5980.0,6070.0,6130.0,5960.0,88095.0,신풍제약
439,2019-09-10,6020.0,6250.0,6250.0,5990.0,95005.0,신풍제약
438,2019-09-11,6040.0,6020.0,6080.0,6010.0,70213.0,신풍제약
437,2019-09-16,6110.0,6100.0,6140.0,6020.0,122845.0,신풍제약
436,2019-09-17,6180.0,6010.0,6260.0,6010.0,248552.0,신풍제약
433,2019-09-18,6140.0,6270.0,6270.0,6120.0,120481.0,신풍제약
432,2019-09-19,6100.0,6090.0,6260.0,6080.0,185814.0,신풍제약
431,2019-09-20,6090.0,6150.0,6160.0,6080.0,66671.0,신풍제약
430,2019-09-23,6050.0,6070.0,6160.0,6010.0,86388.0,신풍제약
429,2019-09-24,6130.0,6050.0,6190.0,6040.0,92944.0,신풍제약
425,2019-09-25,5940.0,6130.0,6190.0,5800.0,109782.0,신풍제약
424,2019-09-26,6010.0,5980.0,6320.0,5970.0,747309.0,신풍제약
