,title
207,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
208,박수치는 삼성노사공동교섭단
209,"""이건희 도전정신 계승"" ""100년 기업 기반 구축"" [삼성전자 창립 51주년 기념..."
210,"삼성전자, 게이밍 모니터 '오디세이 G7' 美 IT 매체 평가 '만점'"
211,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
212,박수치는 삼성노사공동교섭단
213,"""이건희 도전정신 계승"" ""100년 기업 기반 구축"" [삼성전자 창립 51주년 기념..."
214,삶에 도움주는 AI 기술은?…'삼성 AI 포럼 2020' 개최
215,"삼성 오디세이 G7, 게이밍 모니터로 호평 받아"
216,인사말 하는 나기홍 삼성전자 부사장
217,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
218,'저력 보여준' 삼성·LG…4분기에도 웃을까
219,삼성전자 단체교섭 상견례 및 1차 본교섭
220,삼성전자 단체교섭 상견례 및 1차 본교섭
221,"삼성전자 노사 첫 단체교섭…""초일류 100년 기업 첫 걸음은 노동자 존중"""
222,삼성전자 첫 노사 단체교섭
223,"삼성전자, 비스포크 상업용 에어컨 출시"
224,인사 나누는 삼성전자 노사
225,인사말 하는 나기홍 삼성전자 부사장
226,삼성 ‘LCD 1위’ 이끈 이상완 전 사장 별세
227,"이재용 '불참' 삼성전자 창립 51주년 기념식... ""이건희 DNA 계승하자"""
228,"美 유명 IT 매체, 삼성전자 게이밍 모니터 오디세이 G7 ‘호평’"
229,"삼성전자 노사 상견례, 첫 단체교섭 시작"
230,"이재용 '불참' 삼성전자 창립 51주년 기념식... ""이건희 DNA 계승하자"""
231,인사말 하는 나기홍 삼성전자 부사장
232,"美 유명 IT 매체, 삼성전자 게이밍 모니터 오디세이 G7 ‘호평’"
233,"삼성전자 노사 상견례, 첫 단체교섭 시작"
234,"삼성, 5나노 모바일 AP '엑시노스 1080' 12일 공개"
235,"삼성 오디세이 G7, 美 IT 유명 매체서 게이밍모니터 최초 만점"
236,"승현준 삼성리서치 소장 ""인간 중심 AI와 삼성전자 비전 일맥상통"""
237,"이베이, 한정판 삼성 비스포크 냉장고 선봬"
238,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
239,박수치는 삼성전자 노조측
240,삼성전자 '픽' 또 나올까… '유망 스타트업' 발굴 장 열린다
241,"삼성전자, '삼성 AI 포럼 2020' 개최"
242,"삼성전자 노사, 첫 단체교섭 돌입… “발전적 결과 도출 희망”"
243,"삼성전자 '오디세이 G7', 미국 유명 매체로부터 호평"
244,"삼성 오디세이 G7, 美 유력 IT 매체서 ""완벽한 게이밍 모니터"" 호평"
